관서명,주소,전화번호
남양주소방서-오남-119 안전센터,경기도 남양주시 오남읍 진건오남로 772,031-590-0592
남양주소방서-별내-119 안전센터,경기도 남양주시 송산로 41,031-590-0562
남양주소방서-와부-119 안전센터,경기도 남양주시 와부읍 덕소로 97번길 34-2,031-590-0532
남양주소방서-화도-119 안전센터,경기도 남양주시 화도읍 수레로 1260번길 25,031-590-0542
남양주소방서-진건-119 안전센터,경기도 남양주시 진건읍 진건오남로 112-21,031-590-0552
남양주소방서-진접-119 안전센터,경기도 남양주시 진접읍 금강로 1509-25,031-590-0522
남양주소방서-평내-119 안전센터,경기도 남양주시 평내로 25,031-590-0503
의정부소방서-송산-119 안전센터,경기도 의정부시 충의로 90,031-849-7530
의정부소방서-호원-119 안전센터,경기도 의정부시 평화로 322번길 7,031-849-7520
의정부소방서-금오-119 안전센터,경기도 의정부시 호국로 1434-14,031-849-7510
의정부소방서-중앙-119 안전센터,경기도 의정부시 의정로 48,031-849-7500
일산소방서-대화-119 안전센터,경기도 고양시 일산서구 대화동 2321-2,031-930-0572
일산소방서-고봉-119 안전센터,경기도 고양시 일산동구 성현로 429,031-930-0551
일산소방서-중산-119 안전센터,경기도 고양시 일산동구 중산로 218,031-930-0541
